GEOID,n_nodes,n_edges_dir,orientation_entropy,link_node_ratio,dead_end_frac,n_intersections,circuity_avg,reach_mean,reach_gini,n_reach_sources,uoi_connectivity,uoi_efficiency,uoi_accessibility,uoi_equity,status
06075022803,99,308,2.3700694248937393,1.5555555555555556,0.1414141414141414,75,1.0174419868921154,89.83838383838383,0.05100249174906241,99,1.5555555555555556,0.9828570207276448,89.83838383838383,0.9489975082509375,ok
06075022901,185,580,2.2434438090337463,1.5675675675675675,0.12432432432432433,150,1.0328665885224573,178.64864864864865,0.020374698450341445,185,1.5675675675675675,0.9681792509432667,178.64864864864865,0.9796253015496585,ok
06075022902,73,210,2.277996205834418,1.4383561643835616,0.1780821917808219,46,1.024190180174145,71.23287671232876,0.008946259220231833,73,1.4383561643835616,0.9763811637307126,71.23287671232876,0.9910537407797682,ok
06075022903,182,522,2.921769174637268,1.434065934065934,0.1813186813186813,141,1.0410215510042413,167.46153846153845,0.047352116352706794,182,1.434065934065934,0.9605949070269784,167.46153846153845,0.9526478836472932,ok
06075023001,279,772,3.3497996541559414,1.3835125448028673,0.23297491039426524,204,1.0591051287601492,142.6021505376344,0.1334591678382572,279,1.3835125448028673,0.9441933315634671,142.6021505376344,0.8665408321617428,ok
06075023003,135,386,2.966657612393593,1.4296296296296296,0.11851851851851852,102,1.0518247882806877,91.18518518518519,0.15428829316725312,135,1.4296296296296296,0.9507286870797175,91.18518518518519,0.8457117068327469,ok
06075023102,287,782,3.5134459837939738,1.362369337979094,0.18466898954703834,221,1.0680532074137772,209.0383275261324,0.11943703081109507,287,1.362369337979094,0.9362829427022988,209.0383275261324,0.880562969188905,ok
06075023103,307,812,3.3008201539201605,1.3224755700325732,0.2280130293159609,218,1.071454295985938,119.3485342019544,0.21208163236277267,307,1.3224755700325732,0.9333109249235995,119.3485342019544,0.7879183676372273,ok
06075023200,221,668,2.68733392693109,1.51131221719457,0.14479638009049775,169,1.0445046905252469,135.80995475113122,0.17375209819128162,221,1.51131221719457,0.9573915838493106,135.80995475113122,0.8262479018087183,ok
06075023300,324,950,2.888380783599233,1.4660493827160495,0.12037037037037036,262,1.1297784660450987,172.1604938271605,0.16737148586377698,324,1.4660493827160495,0.8851292798141205,172.1604938271605,0.8326285141362231,ok
06075023400,284,814,2.83423427830874,1.4330985915492958,0.17253521126760563,214,1.0466826967865728,161.92957746478874,0.1842291681724687,284,1.4330985915492958,0.9553993804140514,161.92957746478874,0.8157708318275313,ok
06075025100,216,576,3.263814893334737,1.3333333333333333,0.2222222222222222,151,1.0711225323388982,120.99074074074075,0.1693735137142193,216,1.3333333333333333,0.9336000035555266,120.99074074074075,0.8306264862857807,ok
06075025200,288,856,3.1834814297797487,1.4861111111111112,0.1111111111111111,233,1.0318334105061024,162.3125,0.09626254415113343,288,1.4861111111111112,0.9691486918508594,162.3125,0.9037374558488666,ok
06075025300,263,760,2.9308757027766985,1.4448669201520912,0.155893536121673,194,1.0472684631425222,204.3041825095057,0.1112652032520786,263,1.4448669201520912,0.9548649989891947,204.3041825095057,0.8887347967479214,ok
